FileName	digit	Duration(ms)
d3_06_gecko_w24	a:	61.452
d3_07_komodowaran_w24	u:	180.102
d3_07_komodowaran_w24	i:	56.619
d3_07_komodowaran_w24	a:	145.683
d3_08_baer_w24	u:	264.773
d3_08_baer_w24	i:	112.912
d3_08_baer_w24	a:	148.798
d3_09_drucker_w24	u:	133.254
d3_09_drucker_w24	i:	79.456
d3_09_drucker_w24	a:	116.701
d3_10_harypie_w24	u:	176.847
d3_10_harypie_w24	i:	66.566
d3_10_harypie_w24	a:	114.255
d3_11_aeffchen_w24	u:	60.799
d3_11_aeffchen_w24	i:	31.129
d3_11_aeffchen_w24	a:	86.254
d3_12_wanduhr_w24	u:	159.773
d3_12_wanduhr_w24	i:	51.619
d3_12_wanduhr_w24	a:	161.310
e1_01_schildkroete_w24	u:	159.037
e1_01_schildkroete_w24	i:	119.848
e1_01_schildkroete_w24	a:	211.081
e1_02_jumbojet_w24	u:	137.474
e1_02_jumbojet_w24	i:	72.867
e1_02_jumbojet_w24	a:	134.524
e1_03_backofen_w24	u:	166.951
e1_03_backofen_w24	i:	174.018
e1_04_harpyie_w24	u:	179.088
e1_04_harpyie_w24	i:	203.579
e1_04_harpyie_w24	a:	198.605
e1_05_kleinerbagger_w24	u:	133.462
e1_05_kleinerbagger_w24	i:	101.978
e1_05_kleinerbagger_w24	a:	174.527
e1_06_elefant_w24	u:	199.904
e1_06_elefant_w24	i:	128.627
e1_06_elefant_w24	a:	200.724
e1_07_aeffchen_w24	u:	149.454
e1_07_aeffchen_w24	i:	117.049
e1_07_aeffchen_w24	a:	177.538
e1_08_kontrabass_w24	u:	235.612
e1_08_kontrabass_w24	i:	250.939
e1_08_kontrabass_w24	a:	230.545
e1_09_handtrommel_w24	u:	162.319
e1_09_handtrommel_w24	i:	146.405
e1_09_handtrommel_w24	a:	225.178
e1_10_industriebackofen_w24	u:	167.577
e1_10_industriebackofen_w24	i:	104.005
e1_10_industriebackofen_w24	a:	188.509
e1_11_blaumeise_w24	u:	150.384
e1_11_blaumeise_w24	i:	146.985
e1_11_blaumeise_w24	a:	194.564
e1_12_anakonda_w24	u:	179.514
e1_12_anakonda_w24	i:	211.496
e1_12_anakonda_w24	a:	232.130
e2_01_kleinflugzeug_w25	u:	347.101
e2_01_kleinflugzeug_w25	i:	302.833
e2_01_kleinflugzeug_w25	a:	120.731
e2_02_suv_w25	u:	176.124
e2_02_suv_w25	i:	139.912
e2_02_suv_w25	a:	225.505
e2_03_armbanduhr_w25	u:	113.449
e2_03_armbanduhr_w25	i:	109.620
e2_03_armbanduhr_w25	a:	92.387
e2_04_bodentrommel_w25	u:	299.770
e2_04_bodentrommel_w25	i:	272.813
e2_04_bodentrommel_w25	a:	313.788
e2_05_spatz_w25	u:	111.670
e2_05_spatz_w25	i:	119.353
e2_05_spatz_w25	a:	161.478
e2_06_kondor_w25	u:	423.104
e2_06_kondor_w25	i:	346.639
e2_06_kondor_w25	a:	197.788
e2_07_baer_w25	u:	348.638
e2_07_baer_w25	i:	236.651
e2_07_baer_w25	a:	252.498
e2_08_gloeckchen_w25	u:	298.747
e2_08_gloeckchen_w25	i:	244.858
e2_08_gloeckchen_w25	a:	334.848
e2_09_kaninchen_w25	u:	185.412
e2_09_kaninchen_w25	i:	179.139
e2_09_kaninchen_w25	a:	131.740
e2_10_wanduhr_w25	u:	206.465
e2_10_wanduhr_w25	i:	158.697
e2_10_wanduhr_w25	a:	120.482
e2_11_krokodil_w25	u:	153.691
e2_11_krokodil_w25	i:	105.735
e2_11_krokodil_w25	a:	97.068
e2_12_gecko_w25	u:	177.602
e2_12_gecko_w25	i:	174.747
e2_12_gecko_w25	a:	127.919
e3_01_kleinwagen_w22	u:	138.797
e3_01_kleinwagen_w22	i:	46.102
e3_01_kleinwagen_w22	a:	103.975
e3_02_blindschleiche_w22	u:	111.795
e3_02_blindschleiche_w22	i:	106.904
e3_02_blindschleiche_w22	a:	123.673
e3_03_drucker_w22	u:	134.033
e3_03_drucker_w22	i:	78.984
e3_03_drucker_w22	a:	183.498
e3_04_kuh_w22	u:	212.948
e3_04_kuh_w22	i:	171.562
e3_04_kuh_w22	a:	216.710
e3_05_grosserbagger_w22	u:	133.459
e3_05_grosserbagger_w22	i:	92.228
e3_05_grosserbagger_w22	a:	119.354
e3_06_buerodrucker_w22	u:	165.882
e3_06_buerodrucker_w22	i:	121.109
e3_06_buerodrucker_w22	a:	171.020
e3_07_storch_w22	u:	131.270
e3_07_storch_w22	i:	92.157
e3_07_storch_w22	a:	115.732
e3_08_kirchenglocke_w22	u:	185.443
e3_08_kirchenglocke_w22	i:	144.094
e3_08_kirchenglocke_w22	a:	176.672
e3_09_violine_w22	u:	135.982
e3_09_violine_w22	i:	140.120
e3_09_violine_w22	a:	140.120
e3_10_dompfaff_w22	u:	131.393
e3_10_dompfaff_w22	i:	126.052
e3_10_dompfaff_w22	a:	126.586
e3_11_igel_w22	u:	133.328
e3_11_igel_w22	i:	96.323
e3_11_igel_w22	a:	130.063
e3_12_komodowaran_w22	u:	198.284
e3_12_komodowaran_w22	i:	142.863
e3_12_komodowaran_w22	a:	156.235
f1_02_elefant_w20	u:	171.248
f1_02_elefant_w20	i:	92.951
f1_02_elefant_w20	a:	111.297
f1_03_bodentrommel_w20	u:	110.250
f1_03_bodentrommel_w20	i:	82.026
f1_03_bodentrommel_w20	a:	125.244
f1_04_kleinflugzeug_w20	u:	144.842
f1_04_kleinflugzeug_w20	i:	223.910
f1_04_kleinflugzeug_w20	a:	57.377
f1_05_aeffchen_w20	u:	232.026
f1_05_aeffchen_w20	i:	159.983
f1_05_aeffchen_w20	a:	512.124
f1_06_armbanduhr_w20	u:	240.704
f1_06_armbanduhr_w20	i:	209.216
f1_06_armbanduhr_w20	a:	181.927
f1_07_schildkroete_w20	u:	185.031
f1_07_schildkroete_w20	i:	130.846
f1_07_schildkroete_w20	a:	155.883
f1_08_industriebackofen_w20	i:	53.014
f1_08_industriebackofen_w20	a:	159.618
f1_09_handtrommel_w20	u:	141.443
f1_09_handtrommel_w20	i:	201.919
f1_09_handtrommel_w20	a:	419.832
f1_10_harpyie_w20	u:	93.139
f1_10_harpyie_w20	i:	158.054
f1_10_harpyie_w20	a:	179.222
f1_11_anakonda_w20	u:	143.978
f1_11_anakonda_w20	i:	207.085
f1_11_anakonda_w20	a:	407.625
f1_12_spatz_w20	u:	99.569
f1_12_spatz_w20	i:	58.447
f1_12_spatz_w20	a:	101.030
f2_01_buerodrucker_m28	u:	110.531
f2_01_buerodrucker_m28	i:	91.927
f2_01_buerodrucker_m28	a:	128.041
f2_02_blindschleiche_m38	u:	180.428
f2_02_blindschleiche_m38	i:	86.024
f2_02_blindschleiche_m38	a:	132.947
f2_03_krokodil_m38	u:	154.938
f2_03_krokodil_m38	i:	102.377
f2_03_krokodil_m38	a:	184.044
f2_04_kirchenglocke_m38	u:	140.932
f2_04_kirchenglocke_m38	i:	92.857
f2_04_kirchenglocke_m38	a:	187.690
f2_05_grosserbagger_m38	u:	120.046
f2_05_grosserbagger_m38	i:	102.312
f2_05_grosserbagger_m38	a:	171.884
f2_06_gloeckchen_m38	u:	152.572
f2_06_gloeckchen_m38	i:	118.635
f2_06_gloeckchen_m38	a:	201.908
f2_07_kleinerbagger_m38	u:	116.400
f2_07_kleinerbagger_m38	i:	133.688
f2_07_kleinerbagger_m38	a:	178.634
f2_09_baer_m38	u:	130.618
f2_09_baer_m38	i:	100.314
f2_09_baer_m38	a:	202.529
f2_10_kleinwagen_m38	u:	130.298
f2_10_kleinwagen_m38	i:	136.569
f2_10_kleinwagen_m38	a:	169.085
f2_11_storch_m38	u:	156.220
f2_11_storch_m38	i:	100.336
f2_11_storch_m38	a:	116.847
f2_12_igel_m38	u:	166.416
f2_12_igel_m38	i:	92.104
f2_12_igel_m38	a:	129.784
f3_01_violine_w24	u:	328.262
f3_01_violine_w24	i:	265.446
f3_01_violine_w24	a:	258.073
f3_02_backofen_w24	u:	145.924
f3_02_backofen_w24	i:	103.464
f3_02_backofen_w24	a:	154.221
f3_03_jumbojet_w24	u:	202.404
f3_03_jumbojet_w24	i:	143.176
f3_03_jumbojet_w24	a:	249.347
f3_04_kaninchen_w24	u:	114.272
f3_04_kaninchen_w24	i:	93.298
f3_04_kaninchen_w24	a:	162.729
f3_05_kondor_w24	u:	173.578
f3_05_kondor_w24	i:	150.716
